timestamp;match;market;designation;points;old_odd;new_odd;movement_pct
2026-06-14T15:16:31.450351+00:00;New York Mets vs Atlanta Braves;moneyline;home;;-113;-123;3.82
2026-06-14T15:16:31.450979+00:00;New York Mets vs Atlanta Braves;moneyline;away;;104;113;4.41
2026-06-14T15:16:31.451602+00:00;New York Mets vs Atlanta Braves;spread;home;-1.5;180;170;3.57
2026-06-14T15:16:31.452125+00:00;New York Mets vs Atlanta Braves;spread;away;1.5;-203;-190;2.26
2026-06-14T15:16:31.452631+00:00;New York Mets vs Atlanta Braves;total;over;8.5;-112;-110;0.86
2026-06-14T15:16:31.453150+00:00;New York Mets vs Atlanta Braves;total;under;8.5;-100;-102;0.98
2026-06-14T15:16:31.484502+00:00;Washington Nationals vs Seattle Mariners;moneyline;home;;121;119;0.9
2026-06-14T15:16:31.485105+00:00;Washington Nationals vs Seattle Mariners;moneyline;away;;-131;-129;0.67
2026-06-14T15:16:31.485611+00:00;Washington Nationals vs Seattle Mariners;spread;home;1.5;-129;-130;0.34
2026-06-14T15:16:31.486143+00:00;Washington Nationals vs Seattle Mariners;spread;away;-1.5;117;118;0.46
2026-06-14T15:16:31.516976+00:00;Kansas City Royals vs Houston Astros;moneyline;home;;-115;-117;0.8
2026-06-14T15:16:31.517506+00:00;Kansas City Royals vs Houston Astros;moneyline;away;;106;108;0.97
2026-06-14T15:16:31.517994+00:00;Kansas City Royals vs Houston Astros;spread;home;-1.5;173;171;0.73
2026-06-14T15:16:31.518477+00:00;Kansas City Royals vs Houston Astros;spread;away;1.5;-194;-192;0.35
2026-06-14T15:16:31.519007+00:00;Kansas City Royals vs Houston Astros;total;over;8.5;-116;-112;1.65
2026-06-14T15:16:31.519551+00:00;Kansas City Royals vs Houston Astros;total;under;8.5;103;-100;1.48
2026-06-14T15:16:31.550915+00:00;Toronto Blue Jays vs New York Yankees;moneyline;home;;112;119;3.3
2026-06-14T15:16:31.551526+00:00;Toronto Blue Jays vs New York Yankees;moneyline;away;;-121;-129;2.81
2026-06-14T15:16:31.552044+00:00;Toronto Blue Jays vs New York Yankees;spread;home;1.5;-151;-143;2.23
2026-06-14T15:16:31.552544+00:00;Toronto Blue Jays vs New York Yankees;spread;away;-1.5;136;129;2.97
2026-06-14T15:16:31.586264+00:00;Milwaukee Brewers vs Philadelphia Phillies;moneyline;home;;105;114;4.39
2026-06-14T15:16:31.586845+00:00;Milwaukee Brewers vs Philadelphia Phillies;moneyline;away;;-114;-124;3.77
2026-06-14T15:16:31.587418+00:00;Milwaukee Brewers vs Philadelphia Phillies;spread;home;1.5;-172;-164;1.79
2026-06-14T15:16:31.587910+00:00;Milwaukee Brewers vs Philadelphia Phillies;spread;away;-1.5;155;147;3.14
2026-06-14T15:16:31.637154+00:00;Los Angeles Angels vs Tampa Bay Rays;moneyline;home;;103;106;1.48
2026-06-14T15:16:31.637792+00:00;Los Angeles Angels vs Tampa Bay Rays;moneyline;away;;-112;-115;1.23
2026-06-14T15:16:31.638316+00:00;Los Angeles Angels vs Tampa Bay Rays;spread;home;1.5;-158;-154;1.01
2026-06-14T15:16:31.638807+00:00;Los Angeles Angels vs Tampa Bay Rays;spread;away;-1.5;142;139;1.24
2026-06-14T15:16:31.670136+00:00;San Francisco Giants vs Chicago Cubs;moneyline;home;;-130;-125;1.74
2026-06-14T15:16:31.670709+00:00;San Francisco Giants vs Chicago Cubs;moneyline;away;;120;115;2.27
2026-06-14T15:16:31.671246+00:00;San Francisco Giants vs Chicago Cubs;spread;home;-1.5;158;164;2.33
2026-06-14T15:16:31.671821+00:00;San Francisco Giants vs Chicago Cubs;spread;away;1.5;-177;-183;1.18
2026-06-14T15:16:31.672328+00:00;San Francisco Giants vs Chicago Cubs;total;over;8.0;-107;101;3.9
2026-06-14T15:16:31.672862+00:00;San Francisco Giants vs Chicago Cubs;total;under;8.0;-105;-113;3.45
2026-06-14T15:16:35.398533+00:00;Toronto Blue Jays vs New York Yankees;moneyline;home;;117;119;0.92
2026-06-14T15:16:35.399330+00:00;Toronto Blue Jays vs New York Yankees;moneyline;away;;-126;-129;1.03
2026-06-14T15:16:35.399969+00:00;Toronto Blue Jays vs New York Yankees;spread;home;1.5;-147;-143;1.13
2026-06-14T15:16:35.400486+00:00;Toronto Blue Jays vs New York Yankees;spread;away;-1.5;132;129;1.29
2026-06-14T15:16:35.401113+00:00;Toronto Blue Jays vs New York Yankees;total;over;8.0;-109;-116;2.89
2026-06-14T15:16:35.401766+00:00;Toronto Blue Jays vs New York Yankees;total;under;8.0;-103;103;3.0
2026-06-15 10:32:49,Cincinnati Reds vs New York Mets,moneyline,away,,119,120,0.46;;;;;;;
2026-06-15 10:32:49,Cincinnati Reds vs New York Mets,spread,home,-1.5,158,157,0.39;;;;;;;
2026-06-15 10:32:49,Cincinnati Reds vs New York Mets,spread,away,1.5,-180,-179,0.2;;;;;;;
2026-06-15 10:32:49,Athletics vs Pittsburgh Pirates,moneyline,home,,-121,-126,1.8;;;;;;;
2026-06-15 10:32:49,Athletics vs Pittsburgh Pirates,moneyline,away,,110,114,1.9;;;;;;;
2026-06-15 10:32:49,Athletics vs Pittsburgh Pirates,spread,home,-1.5,157,152,1.95;;;;;;;
2026-06-15 10:32:49,Athletics vs Pittsburgh Pirates,spread,away,1.5,-179,-173,1.24;;;;;;;
